time [s]	pressure [bar]	temperature [K]	mass [kg]
0.401639	14.484195	2766.904852	0.001026
0.401644	14.486145	2767.020349	0.001026
0.401650	14.488104	2767.136349	0.001026
0.401656	14.490073	2767.252853	0.001027
0.401661	14.492050	2767.369860	0.001027
0.401667	14.494037	2767.487370	0.001027
0.401672	14.496032	2767.605384	0.001027
0.401678	14.498037	2767.723902	0.001027
0.401683	14.500051	2767.842923	0.001027
0.401689	14.502074	2767.962448	0.001027
0.401694	14.504106	2768.082476	0.001027
0.401700	14.506147	2768.203008	0.001027
0.401706	14.508198	2768.324043	0.001027
0.401711	14.510257	2768.445582	0.001028
0.401717	14.512326	2768.567625	0.001028
0.401722	14.514403	2768.690171	0.001028
0.401728	14.516490	2768.813221	0.001028
0.401733	14.518586	2768.936775	0.001028
0.401739	14.520692	2769.060832	0.001028
0.401744	14.522806	2769.185393	0.001028
0.401750	14.524930	2769.310458	0.001028
0.401756	14.527063	2769.436026	0.001028
0.401761	14.529205	2769.562098	0.001028
0.401767	14.531356	2769.688674	0.001029
0.401772	14.533516	2769.815754	0.001029
0.401778	14.535686	2769.943337	0.001029
0.401783	14.537865	2770.071424	0.001029
0.401789	14.540053	2770.200015	0.001029
0.401794	14.542250	2770.329110	0.001029
0.401800	14.544457	2770.458708	0.001029
0.401806	14.546672	2770.588810	0.001029
0.401811	14.548898	2770.719417	0.001029
0.401817	14.551132	2770.850527	0.001030
0.401822	14.553376	2770.982140	0.001030
0.401828	14.555629	2771.114258	0.001030
0.401833	14.557891	2771.246880	0.001030
0.401839	14.560162	2771.380006	0.001030
0.401844	14.562443	2771.513635	0.001030
0.401850	14.564733	2771.647769	0.001030
0.401856	14.567033	2771.782406	0.001030
0.401861	14.569341	2771.917547	0.001030
0.401867	14.571659	2772.053193	0.001031
0.401872	14.573987	2772.189342	0.001031
0.401878	14.576324	2772.325995	0.001031
0.401883	14.578670	2772.463153	0.001031
0.401889	14.581025	2772.600814	0.001031
0.401894	14.583390	2772.738980	0.001031
0.401900	14.585764	2772.877649	0.001031
0.401906	14.588148	2773.016823	0.001031
0.401911	14.590541	2773.156501	0.001031
0.401917	14.592943	2773.296683	0.001032
0.401922	14.595355	2773.437368	0.001032
0.401928	14.597776	2773.578559	0.001032
0.401933	14.600207	2773.720253	0.001032
0.401939	14.602647	2773.862451	0.001032
0.401944	14.605097	2774.005154	0.001032
0.401950	14.607556	2774.148360	0.001032
0.401956	14.610024	2774.292071	0.001032
0.401961	14.612502	2774.436286	0.001033
0.401967	14.614989	2774.581006	0.001033
0.401972	14.617486	2774.726229	0.001033
0.401978	14.619992	2774.871957	0.001033
0.401983	14.622508	2775.018189	0.001033
0.401989	14.625033	2775.164926	0.001033
0.401994	14.627568	2775.312166	0.001033
0.402000	14.630112	2775.459911	0.001033
0.402006	14.632666	2775.608160	0.001034
0.402011	14.635229	2775.756914	0.001034
0.402017	14.637802	2775.906172	0.001034
0.402022	14.640385	2776.055934	0.001034
0.402028	14.642977	2776.206200	0.001034
0.402033	14.645578	2776.356971	0.001034
0.402039	14.648189	2776.508247	0.001034
0.402044	14.650810	2776.660026	0.001034
0.402050	14.653440	2776.812310	0.001035
0.402056	14.656080	2776.965099	0.001035
0.402061	14.658729	2777.118392	0.001035
0.402067	14.661389	2777.272189	0.001035
