time [s]	crank-angle [deg]	mass flow [kg/s]	enthalpy flow [J/s]	throat area [cm²]
0.402006	216.100000	-0.022618	-91293.886023	8.895519
0.402011	216.200000	-0.022703	-91633.979182	8.904513
0.402017	216.300000	-0.022788	-91974.355883	8.913484
0.402022	216.400000	-0.022873	-92315.016838	8.922432
0.402028	216.500000	-0.022959	-92655.962753	8.931357
0.402033	216.600000	-0.023044	-92997.194336	8.940258
0.402039	216.700000	-0.023129	-93338.712292	8.949136
0.402044	216.800000	-0.023215	-93680.517323	8.957991
0.402050	216.900000	-0.023300	-94022.610133	8.966822
0.402056	217.000000	-0.023386	-94364.991420	8.975630
0.402061	217.100000	-0.023471	-94707.661884	8.984414
0.402067	217.200000	-0.023557	-95050.622220	8.993175
0.402072	217.300000	-0.023643	-95393.873125	9.001913
0.402078	217.400000	-0.023729	-95737.415291	9.010627
0.402083	217.500000	-0.023815	-96081.249409	9.019318
0.402089	217.600000	-0.023901	-96425.376170	9.027985
0.402094	217.700000	-0.023987	-96769.796262	9.036629
0.402100	217.800000	-0.024073	-97114.510370	9.045249
0.402106	217.900000	-0.024159	-97459.519180	9.053846
0.402111	218.000000	-0.024246	-97804.823373	9.062419
0.402117	218.100000	-0.024332	-98150.423633	9.070969
0.402122	218.200000	-0.024418	-98496.320634	9.079495
0.402128	218.300000	-0.024505	-98842.515058	9.087997
0.402133	218.400000	-0.024592	-99189.007578	9.096476
0.402139	218.500000	-0.024678	-99535.798867	9.104932
0.402144	218.600000	-0.024765	-99882.889598	9.113364
0.402150	218.700000	-0.024852	-100230.280441	9.121772
0.402156	218.800000	-0.024939	-100577.972062	9.130156
0.402161	218.900000	-0.025026	-100925.965129	9.138517
0.402167	219.000000	-0.025113	-101274.260305	9.146854
0.402172	219.100000	-0.025200	-101622.858251	9.155167
0.402178	219.200000	-0.025287	-101971.759629	9.163457
0.402183	219.300000	-0.025375	-102320.965097	9.171723
0.402189	219.400000	-0.025462	-102670.475310	9.179966
0.402194	219.500000	-0.025549	-103020.290924	9.188184
0.402200	219.600000	-0.025637	-103370.412589	9.196379
0.402206	219.700000	-0.025724	-103720.840956	9.204550
0.402211	219.800000	-0.025812	-104071.576674	9.212697
0.402217	219.900000	-0.025900	-104422.620388	9.220821
0.402222	220.000000	-0.025988	-104773.972743	9.228920
0.402228	220.100000	-0.026076	-105125.634381	9.236996
0.402233	220.200000	-0.026164	-105477.605940	9.245048
0.402239	220.300000	-0.026252	-105829.888061	9.253076
0.402244	220.400000	-0.026340	-106182.481377	9.261081
0.402250	220.500000	-0.026428	-106535.386522	9.269061
0.402256	220.600000	-0.026516	-106888.604129	9.277018
0.402261	220.700000	-0.026605	-107242.134826	9.284950
0.402267	220.800000	-0.026693	-107595.979240	9.292859
0.402272	220.900000	-0.026782	-107950.137997	9.300744
0.402278	221.000000	-0.026870	-108304.611718	9.308605
0.402283	221.100000	-0.026959	-108659.401026	9.316442
0.402289	221.200000	-0.027048	-109014.506537	9.324255
0.402294	221.300000	-0.027137	-109369.928868	9.332044
0.402300	221.400000	-0.027226	-109725.668632	9.339809
0.402306	221.500000	-0.027315	-110081.726443	9.347550
0.402311	221.600000	-0.027404	-110438.102907	9.355267
0.402317	221.700000	-0.027493	-110794.798633	9.362960
0.402322	221.800000	-0.027582	-111151.814226	9.370629
0.402328	221.900000	-0.027672	-111509.150287	9.378274
0.402333	222.000000	-0.027761	-111866.807417	9.385895
0.402339	222.100000	-0.027851	-112224.786212	9.393492
0.402344	222.200000	-0.027940	-112583.087271	9.401065
0.402350	222.300000	-0.028030	-112941.711182	9.408614
0.402356	222.400000	-0.028120	-113300.658540	9.416138
0.402361	222.500000	-0.028209	-113659.929929	9.423639
0.402367	222.600000	-0.028299	-114019.525938	9.431116
0.402372	222.700000	-0.028389	-114379.447149	9.438568
0.402378	222.800000	-0.028479	-114739.694141	9.445996
0.402383	222.900000	-0.028569	-115100.267496	9.453400
0.402389	223.000000	-0.028660	-115461.167787	9.460780
0.402394	223.100000	-0.028750	-115822.395588	9.468136
0.402400	223.200000	-0.028840	-116183.951469	9.475468
0.402406	223.300000	-0.028931	-116545.836000	9.482775
0.402411	223.400000	-0.029021	-116908.049746	9.490058
0.402417	223.500000	-0.029112	-117270.593269	9.497317
0.402422	223.600000	-0.029203	-117633.467130	9.504552
0.402428	223.700000	-0.029294	-117996.671888	9.511763
0.402433	223.800000	-0.029384	-118360.208097	9.518949
0.402439	223.900000	-0.029475	-118724.076311	9.526111
0.402444	224.000000	-0.029566	-119088.277078	9.533249
0.402450	224.100000	-0.029658	-119452.810948	9.540363
0.402456	224.200000	-0.029749	-119817.678464	9.547452
0.402461	224.300000	-0.029840	-120182.880168	9.554518
0.402467	224.400000	-0.029931	-120548.416600	9.561558
0.402472	224.500000	-0.030023	-120914.288295	9.568575
0.402478	224.600000	-0.030114	-121280.495789	9.575567
0.402483	224.700000	-0.030206	-121647.039612	9.582535
0.402489	224.800000	-0.030298	-122013.920292	9.589479
0.402494	224.900000	-0.030390	-122381.138355	9.596398
0.402500	225.000000	-0.030481	-122748.694323	9.603293
0.402506	225.100000	-0.030573	-123116.588717	9.610163
0.402511	225.200000	-0.030665	-123484.822053	9.617010
0.402517	225.300000	-0.030758	-123853.394845	9.623831
0.402522	225.400000	-0.030850	-124222.307604	9.630629
0.402528	225.500000	-0.030942	-124591.560840	9.637402
0.402533	225.600000	-0.031034	-124961.155057	9.644151
0.402539	225.700000	-0.031127	-125331.090758	9.650875
0.402544	225.800000	-0.031219	-125701.368443	9.657575
0.402550	225.900000	-0.031312	-126071.988607	9.664250
0.402556	226.000000	-0.031405	-126442.951745	9.670901
0.402561	226.100000	-0.031498	-126814.258348	9.677528
0.402567	226.200000	-0.031590	-127185.908901	9.684130
0.402572	226.300000	-0.031683	-127557.903892	9.690708
0.402578	226.400000	-0.031776	-127930.243800	9.697261
0.402583	226.500000	-0.031870	-128302.929106	9.703789
0.402589	226.600000	-0.031963	-128675.960282	9.710294
0.402594	226.700000	-0.032056	-129049.337802	9.716774
0.402600	226.800000	-0.032150	-129423.062136	9.723229
0.402606	226.900000	-0.032243	-129797.133748	9.729660
0.402611	227.000000	-0.032337	-130171.553102	9.736066
0.402617	227.100000	-0.032430	-130546.320658	9.742448
0.402622	227.200000	-0.032524	-130921.436871	9.748805
0.402628	227.300000	-0.032618	-131296.902195	9.755138
0.402633	227.400000	-0.032712	-131672.717080	9.761446
0.402639	227.500000	-0.032806	-132048.881973	9.767730
