time [s]	pressure [bar]	temperature [K]	mass [kg]
0.401644	2.874684	2531.610086	0.000223
0.401650	2.873021	2531.282326	0.000223
0.401656	2.871361	2530.954875	0.000222
0.401661	2.869703	2530.627733	0.000222
0.401667	2.868047	2530.300901	0.000222
0.401672	2.866394	2529.974379	0.000222
0.401678	2.864743	2529.648169	0.000222
0.401683	2.863095	2529.322269	0.000222
0.401689	2.861448	2528.996682	0.000222
0.401694	2.859804	2528.671408	0.000222
0.401700	2.858163	2528.346446	0.000222
0.401706	2.856523	2528.021798	0.000222
0.401711	2.854886	2527.697464	0.000221
0.401717	2.853252	2527.373445	0.000221
0.401722	2.851620	2527.049742	0.000221
0.401728	2.849990	2526.726354	0.000221
0.401733	2.848362	2526.403282	0.000221
0.401739	2.846737	2526.080527	0.000221
0.401744	2.845114	2525.758090	0.000221
0.401750	2.843493	2525.435970	0.000221
0.401756	2.841875	2525.114169	0.000221
0.401761	2.840259	2524.792686	0.000221
0.401767	2.838645	2524.471523	0.000220
0.401772	2.837034	2524.150680	0.000220
0.401778	2.835425	2523.830157	0.000220
0.401783	2.833818	2523.509955	0.000220
0.401789	2.832214	2523.190074	0.000220
0.401794	2.830612	2522.870515	0.000220
0.401800	2.829013	2522.551278	0.000220
0.401806	2.827415	2522.232365	0.000220
0.401811	2.825820	2521.913774	0.000220
0.401817	2.824228	2521.595507	0.000220
0.401822	2.822637	2521.277565	0.000219
0.401828	2.821050	2520.959947	0.000219
0.401833	2.819464	2520.642654	0.000219
0.401839	2.817881	2520.325687	0.000219
0.401844	2.816300	2520.009046	0.000219
0.401850	2.814721	2519.692732	0.000219
0.401856	2.813145	2519.376744	0.000219
0.401861	2.811571	2519.061084	0.000219
0.401867	2.809999	2518.745752	0.000219
0.401872	2.808430	2518.430748	0.000219
0.401878	2.806863	2518.116073	0.000219
0.401883	2.805299	2517.801727	0.000218
0.401889	2.803736	2517.487711	0.000218
0.401894	2.802176	2517.174025	0.000218
0.401900	2.800619	2516.860670	0.000218
0.401906	2.799063	2516.547645	0.000218
0.401911	2.797510	2516.234952	0.000218
0.401917	2.795960	2515.922591	0.000218
0.401922	2.794412	2515.610562	0.000218
0.401928	2.792866	2515.298865	0.000218
0.401933	2.791322	2514.987502	0.000218
0.401939	2.789781	2514.676472	0.000217
0.401944	2.788242	2514.365776	0.000217
0.401950	2.786705	2514.055414	0.000217
0.401956	2.785171	2513.745387	0.000217
0.401961	2.783639	2513.435695	0.000217
0.401967	2.782109	2513.126338	0.000217
0.401972	2.780582	2512.817318	0.000217
0.401978	2.779057	2512.508633	0.000217
0.401983	2.777534	2512.200285	0.000217
0.401989	2.776014	2511.892275	0.000217
0.401994	2.774496	2511.584602	0.000217
0.402000	2.772980	2511.277266	0.000216
0.402006	2.771467	2510.970269	0.000216
0.402011	2.769956	2510.663610	0.000216
0.402017	2.768447	2510.357290	0.000216
0.402022	2.766941	2510.051310	0.000216
0.402028	2.765437	2509.745669	0.000216
0.402033	2.763935	2509.440368	0.000216
0.402039	2.762435	2509.135408	0.000216
0.402044	2.760938	2508.830788	0.000216
0.402050	2.759444	2508.526510	0.000216
0.402056	2.757951	2508.222573	0.000216
0.402061	2.756461	2507.918977	0.000215
0.402067	2.754973	2507.615724	0.000215
0.402072	2.753488	2507.312814	0.000215
0.402078	2.752004	2507.010246	0.000215
0.402083	2.750523	2506.708022	0.000215
0.402089	2.749045	2506.406141	0.000215
0.402094	2.747569	2506.104603	0.000215
0.402100	2.746095	2505.803410	0.000215
0.402106	2.744623	2505.502562	0.000215
0.402111	2.743154	2505.202058	0.000215
0.402117	2.741687	2504.901900	0.000215
0.402122	2.740222	2504.602087	0.000214
0.402128	2.738760	2504.302620	0.000214
0.402133	2.737300	2504.003499	0.000214
0.402139	2.735842	2503.704725	0.000214
0.402144	2.734386	2503.406297	0.000214
0.402150	2.732933	2503.108216	0.000214
0.402156	2.731482	2502.810483	0.000214
0.402161	2.730034	2502.513097	0.000214
0.402167	2.728588	2502.216060	0.000214
0.402172	2.727144	2501.919371	0.000214
0.402178	2.725702	2501.623030	0.000214
0.402183	2.724263	2501.327038	0.000214
0.402189	2.722826	2501.031395	0.000213
0.402194	2.721391	2500.736102	0.000213
0.402200	2.719958	2500.441158	0.000213
0.402206	2.718528	2500.146565	0.000213
0.402211	2.717100	2499.852322	0.000213
0.402217	2.715675	2499.558429	0.000213
0.402222	2.714252	2499.264887	0.000213
0.402228	2.712831	2498.971697	0.000213
0.402233	2.711412	2498.678858	0.000213
0.402239	2.709996	2498.386370	0.000213
0.402244	2.708582	2498.094235	0.000213
0.402250	2.707170	2497.802451	0.000212
0.402256	2.705760	2497.511020	0.000212
0.402261	2.704353	2497.219942	0.000212
0.402267	2.702948	2496.929217	0.000212
0.402272	2.701546	2496.638845	0.000212
